Month,IBM cloud computing: (Worldwide),Amazon Elastic Compute Cloud: (Worldwide),Microsoft Azure: (Worldwide),Google Cloud Platform: (Worldwide)
2004-01,0,2,11,2
2004-02,0,3,11,0.5
2004-03,0,3,6,1
2004-04,0,3,9,1
2004-05,0,4,9,1
2004-06,0,3,8,2
2004-07,0,2,7,1
2004-08,0,2,8,1
2004-09,0.5,3,8,1
2004-10,0,3,9,1
2004-11,0,3,9,1
2004-12,0,4,11,1
2005-01,0.5,3,11,0.5
2005-02,0,2,10,1
2005-03,0.5,2,8,1
2005-04,0,3,9,1
2005-05,0,4,9,1
2005-06,0.5,2,10,1
2005-07,0,2,11,1
2005-08,0,3,11,1
2005-09,0.5,4,9,0.5
2005-10,0,3,10,1
2005-11,0,3,8,1
2005-12,0,4,10,0.5
2006-01,0.5,3,10,1
2006-02,0,3,11,1
2006-03,0.5,3,10,1
2006-04,0.5,3,11,1
2006-05,0,3,9,1
2006-06,0.5,3,9,1
2006-07,0.5,4,11,1
2006-08,0.5,3,12,1
2006-09,0,4,9,1
2006-10,0.5,4,11,1
2006-11,0,5,9,1
2006-12,0.5,5,10,1
2007-01,0,4,10,0.5
2007-02,0,5,12,1
2007-03,0,5,10,0.5
2007-04,0,5,11,1
2007-05,0,4,11,1
2007-06,0,5,10,1
2007-07,0,5,11,1
2007-08,0,5,12,1
2007-09,0,6,10,1
2007-10,0.5,6,11,1
2007-11,0.5,7,10,1
2007-12,0.5,6,10,1
2008-01,0.5,6,11,1
2008-02,0.5,7,11,1
2008-03,0.5,7,11,1
2008-04,0.5,8,10,1
2008-05,0.5,7,11,1
2008-06,0.5,8,12,1
2008-07,0.5,8,12,1
2008-08,0.5,7,11,1
2008-09,0.5,7,10,1
2008-10,0.5,10,28,1
2008-11,0.5,9,21,1
2008-12,0.5,9,16,2
2009-01,0.5,9,16,1
2009-02,0.5,10,17,2
2009-03,0.5,11,18,1
2009-04,0.5,11,19,1
2009-05,0.5,10,18,2
2009-06,0.5,10,15,1
2009-07,0.5,10,18,2
2009-08,0.5,10,16,1
2009-09,0.5,11,17,1
2009-10,1,11,15,2
2009-11,0.5,12,20,2
2009-12,0.5,11,18,2
2010-01,0.5,11,18,2
2010-02,1,12,23,2
2010-03,1,13,19,2
2010-04,1,12,20,2
2010-05,0.5,11,18,2
2010-06,1,12,19,2
2010-07,1,10,19,2
2010-08,0.5,12,18,2
2010-09,1,12,18,2
2010-10,1,12,21,2
2010-11,1,13,25,4
2010-12,1,13,23,4
2011-01,0.5,14,23,4
2011-02,0.5,14,25,5
2011-03,1,14,26,7
2011-04,1,20,26,6
2011-05,1,15,27,7
2011-06,1,15,28,10
2011-07,1,13,22,7
2011-08,1,14,21,6
2011-09,1,14,22,6
2011-10,1,14,20,8
2011-11,1,14,21,7
2011-12,1,13,20,8
2012-01,1,14,22,8
2012-02,1,14,21,8
2012-03,1,15,23,7
2012-04,1,14,23,11
2012-05,1,14,22,9
2012-06,1,15,26,7
2012-07,1,14,23,7
2012-08,1,14,24,7
2012-09,1,14,24,7
2012-10,1,15,25,7
2012-11,1,14,24,7
2012-12,1,12,21,7
2013-01,1,13,23,8
2013-02,1,14,26,7
2013-03,1,14,26,7
2013-04,1,14,29,7
2013-05,1,14,28,8
2013-06,1,13,28,7
2013-07,1,14,28,7
2013-08,1,13,26,7
2013-09,1,14,28,8
2013-10,1,14,31,9
2013-11,1,13,29,9
2013-12,1,12,26,9
2014-01,1,13,29,9
2014-02,1,14,32,9
2014-03,1,13,35,10
2014-04,1,14,38,10
2014-05,1,13,37,9
2014-06,1,13,35,9
2014-07,1,13,37,10
2014-08,1,12,37,9
2014-09,1,13,40,10
2014-10,1,13,41,9
2014-11,1,13,44,10
2014-12,1,12,40,10
2015-01,1,12,41,10
2015-02,1,13,46,10
2015-03,1,13,49,11
2015-04,1,14,51,11
2015-05,1,13,50,10
2015-06,1,13,50,10
2015-07,1,13,47,10
2015-08,1,13,49,10
2015-09,1,13,53,11
2015-10,1,14,53,11
2015-11,1,13,55,10
2015-12,1,13,50,11
2016-01,1,13,50,9
2016-02,1,15,59,11
2016-03,1,15,59,13
2016-04,1,15,61,12
2016-05,1,15,61,11
2016-06,1,16,61,12
2016-07,1,14,56,11
2016-08,1,15,58,12
2016-09,1,15,64,14
2016-10,1,15,64,15
2016-11,1,16,70,17
2016-12,1,16,60,14
2017-01,1,16,70,15
2017-02,1,19,78,19
2017-03,1,20,84,24
2017-04,1,18,76,22
2017-05,1,19,84,22
2017-06,1,19,81,23
2017-07,1,17,77,21
2017-08,1,19,83,22
2017-09,1,18,83,24
2017-10,1,19,94,26
2017-11,2,19,94,27
2017-12,2,17,78,24
2018-01,2,19,86,26
2018-02,3,19,94,28
2018-03,2,20,94,28
2018-04,3,19,97,29
2018-05,3,19,98,29
2018-06,3,20,100,29
2018-07,2,18,93,28
